cnn,corridor,limits,monthly_frequency,frequency_group,days_cleaned,time_ranges,schedule_summary,block_sides,street_sides,heatmap_cells,holidays
100000,01st St,Market St  -  Stevenson St,10,1-10,"Fri, Mon, Thu, Tues, Wed",12 AM - 2 AM,"Fri 12 AM - 2 AM, Mon 12 AM - 2 AM, Thu 12 AM - 2 AM, Tues 12 AM - 2 AM, Wed 12 AM - 2 AM","NorthEast, SouthWest","L, R","Fri|12-2, Mon|12-2, Thu|12-2, Tues|12-2, Wed|12-2",0
1000000,20th Ave,Clement St  -  Geary Blvd,36,31-40,"Mon, Wed",8 AM - 10 AM,"Mon 8 AM - 10 AM, Wed 8 AM - 10 AM","East, West","L, R","Mon|8-10, Wed|8-10",0
10000101,Ortega St,11th Ave  -  Selma Way,20,11-20,Fri,9 AM - 11 AM,Fri 9 AM - 11 AM,SouthWest,L,Fri|8-10,0
10000102,Ortega St,Selma Way  -  14th Ave,20,11-20,Fri,9 AM - 11 AM,Fri 9 AM - 11 AM,South,L,Fri|8-10,0
10000201,Ortega St,11th Ave  -  Aerial Way,20,11-20,Tues,9 AM - 11 AM,Tues 9 AM - 11 AM,NorthEast,R,Tues|8-10,0
10000202,Ortega St,Aerial Way  -  Cascade Walk,20,11-20,Tues,9 AM - 11 AM,Tues 9 AM - 11 AM,NorthEast,R,Tues|8-10,0
10000203,Ortega St,Cascade Walk  -  14th Ave,20,11-20,Tues,9 AM - 11 AM,Tues 9 AM - 11 AM,North,R,Tues|8-10,0
10002000,Ortega St,15th Ave  -  16th Ave,48,41-50,"Mon, Wed",11 AM - 1 PM,"Mon 11 AM - 1 PM, Wed 11 AM - 1 PM","North, South","L, R","Mon|10-12, Wed|10-12",0
10003000,Ortega St,16th Ave  -  17th Ave,48,41-50,"Mon, Wed",11 AM - 1 PM,"Mon 11 AM - 1 PM, Wed 11 AM - 1 PM","North, South","L, R","Mon|10-12, Wed|10-12",0
10004000,Ortega St,17th Ave  -  Anglo Aly,48,41-50,"Mon, Wed",11 AM - 1 PM,"Mon 11 AM - 1 PM, Wed 11 AM - 1 PM","North, South","L, R","Mon|10-12, Wed|10-12",0
10005000,Ortega St,Anglo Aly  -  18th Ave,48,41-50,"Mon, Wed",11 AM - 1 PM,"Mon 11 AM - 1 PM, Wed 11 AM - 1 PM","North, South","L, R","Mon|10-12, Wed|10-12",0
10006000,Ortega St,18th Ave  -  19th Ave,48,41-50,"Mon, Wed",11 AM - 1 PM,"Mon 11 AM - 1 PM, Wed 11 AM - 1 PM","North, South","L, R","Mon|10-12, Wed|10-12",0
10007000,Ortega St,19th Ave  -  20th Ave,46,41-50,"Mon, Thu","7 AM - 8 AM, 7 AM - 9 AM","Mon 7 AM - 8 AM, Thu 7 AM - 9 AM","North, South","L, R","Mon|6-8, Thu|6-8",0
10008000,Ortega St,20th Ave  -  21st Ave,46,41-50,"Mon, Thu","1 PM - 3 PM, 8 AM - 10 AM","Mon 1 PM - 3 PM, Thu 8 AM - 10 AM","North, South","L, R","Mon|12-14, Thu|8-10",0
10009000,Ortega St,21st Ave  -  22nd Ave,46,41-50,"Mon, Thu","1 PM - 3 PM, 8 AM - 10 AM","Mon 1 PM - 3 PM, Thu 8 AM - 10 AM","North, South","L, R","Mon|12-14, Thu|8-10",0
1001000,20th Ave,Geary Blvd  -  Anza St,36,31-40,"Mon, Wed",8 AM - 10 AM,"Mon 8 AM - 10 AM, Wed 8 AM - 10 AM","East, West","L, R","Mon|8-10, Wed|8-10",0
10010000,Ortega St,22nd Ave  -  23rd Ave,46,41-50,"Mon, Thu","1 PM - 3 PM, 8 AM - 10 AM","Mon 1 PM - 3 PM, Thu 8 AM - 10 AM","North, South","L, R","Mon|12-14, Thu|8-10",0
10011000,Ortega St,23rd Ave  -  24th Ave,46,41-50,"Mon, Thu","1 PM - 3 PM, 8 AM - 10 AM","Mon 1 PM - 3 PM, Thu 8 AM - 10 AM","North, South","L, R","Mon|12-14, Thu|8-10",0
10012000,Ortega St,24th Ave  -  25th Ave,46,41-50,"Mon, Thu","1 PM - 3 PM, 8 AM - 10 AM","Mon 1 PM - 3 PM, Thu 8 AM - 10 AM","North, South","L, R","Mon|12-14, Thu|8-10",0
