cnn,monthly_frequency,frequency_group
100000,20,17-20
101000,20,17-20
102000,20,17-20
103000,20,17-20
104001,20,17-20
104002,20,17-20
105000,20,17-20
106000,20,17-20
107000,20,17-20
108001,16,13-16
110000,16,13-16
111000,8,7-8
112000,12,9-12
113000,12,9-12
115001,8,7-8
116001,8,7-8
116002,8,7-8
118000,2,2
119000,4,4
120000,4,4
121000,4,4
122000,4,4
123000,4,4
124000,4,4
125000,4,4
126000,4,4
127000,4,4
128000,4,4
129000,20,17-20
130000,20,17-20
131000,20,17-20
132000,20,17-20
133000,20,17-20
134000,20,17-20
135000,20,17-20
136000,20,17-20
137000,20,17-20
138000,20,17-20
139000,20,17-20
140000,20,17-20
141000,20,17-20
142000,20,17-20
143000,20,17-20
144000,20,17-20
145000,20,17-20
146000,20,17-20
147000,20,17-20
148000,20,17-20
151000,4,4
152000,4,4
153000,4,4
154000,4,4
155000,4,4
156000,4,4
157000,4,4
158000,4,4
160000,4,4
161000,4,4
162000,4,4
163000,32,29-36
164000,32,29-36
165000,32,29-36
166000,32,29-36
167000,32,29-36
168000,32,29-36
169000,32,29-36
170000,32,29-36
171000,32,29-36
172000,32,29-36
173000,32,29-36
174000,32,29-36
175000,32,29-36
176000,32,29-36
177000,32,29-36
178000,32,29-36
179000,32,29-36
180000,32,29-36
181000,32,29-36
182000,40,37+
183000,40,37+
184001,40,37+
184101,28,21-28
184201,20,17-20
185101,28,21-28
185102,28,21-28
185103,28,21-28
185104,28,21-28
185105,28,21-28
185201,16,13-16
185202,16,13-16
185203,16,13-16
185204,16,13-16
185206,16,13-16
185207,16,13-16
185208,16,13-16
186101,16,13-16
186201,20,17-20
187101,16,13-16
187201,20,17-20
188101,8,7-8
188201,20,17-20
189101,8,7-8
189201,20,17-20
190101,8,7-8
190201,20,17-20
191101,8,7-8
191201,20,17-20
192101,8,7-8
192201,20,17-20
193101,8,7-8
193201,20,17-20
194101,8,7-8
194201,20,17-20
195101,16,13-16
195201,20,17-20
196000,32,29-36
197101,32,29-36
197201,32,29-36
198101,32,29-36
198201,32,29-36
199101,32,29-36
199201,32,29-36
200101,32,29-36
200201,32,29-36
200202,32,29-36
201000,32,29-36
202101,32,29-36
202201,32,29-36
203101,32,29-36
203201,32,29-36
204101,32,29-36
204201,32,29-36
205101,32,29-36
205201,32,29-36
206101,32,29-36
206102,32,29-36
206201,32,29-36
207101,32,29-36
207201,32,29-36
208101,32,29-36
208201,32,29-36
209101,32,29-36
209201,32,29-36
210101,32,29-36
210201,32,29-36
211101,32,29-36
211201,32,29-36
212101,32,29-36
212201,32,29-36
213101,32,29-36
213201,32,29-36
214101,32,29-36
214201,32,29-36
215101,32,29-36
215201,32,29-36
216101,32,29-36
216201,32,29-36
217101,32,29-36
217201,32,29-36
218101,32,29-36
218201,32,29-36
219101,32,29-36
219201,32,29-36
220101,32,29-36
220102,32,29-36
220201,32,29-36
221101,32,29-36
221201,32,29-36
222101,32,29-36
222201,32,29-36
223101,32,29-36
223201,32,29-36
224101,32,29-36
224201,32,29-36
225101,32,29-36
225102,32,29-36
225201,32,29-36
226101,32,29-36
226201,32,29-36
227102,32,29-36
227103,32,29-36
227201,32,29-36
228101,16,13-16
228201,24,21-28
229101,16,13-16
229201,24,21-28
230101,16,13-16
230201,24,21-28
230202,24,21-28
231101,20,17-20
231201,24,21-28
232101,4,4
232201,4,4
233101,4,4
233202,8,7-8
238000,4,4
239000,4,4
240000,4,4
241000,4,4
242000,4,4
243000,4,4
244000,4,4
245000,4,4
246000,4,4
247000,4,4
248000,4,4
249000,20,17-20
250000,20,17-20
251000,20,17-20
252000,20,17-20
253000,20,17-20
254000,20,17-20
255000,20,17-20
256000,20,17-20
257000,20,17-20
258000,20,17-20
259000,20,17-20
260000,20,17-20
261000,20,17-20
262000,20,17-20
263000,20,17-20
264000,20,17-20
265000,20,17-20
266000,20,17-20
267001,20,17-20
269000,20,17-20
270002,20,17-20
271000,16,13-16
275000,4,4
276000,4,4
277000,4,4
278000,4,4
279000,4,4
280000,4,4
281000,4,4
282000,4,4
283000,4,4
