frequency,count
2,21
3,1
4,93
6,52
7,2
8,27
10,140
11,12
12,325
13,28
14,41
15,22
16,129
18,216
19,13
20,270
22,75
24,77
25,12
26,195
27,5
28,279
30,234
32,263
33,1
34,104
35,33
36,1254
38,706
39,4
40,1514
41,18
42,209
43,7
44,375
45,6
46,798
47,5
48,537
50,233
51,9
52,1215
53,3
54,510
56,442
57,6
58,22
60,180
62,11
64,46
66,7
68,95
69,24
70,195
71,4
72,79
73,2
74,8
75,63
76,20
78,23
80,27
81,31
82,13
84,67
85,1
86,5
88,3
89,2
90,16
91,5
92,7
94,10
96,27
98,9
99,2
100,27
102,3
104,35
105,28
110,5
112,91
114,1
116,11
118,1
120,129
124,9
126,8
128,75
131,43
132,10
134,4
136,2
140,33
141,13
144,3
148,3
150,20
154,6
160,60
164,1
168,27
180,12
192,17
212,20
224,16
352,15
579343,1
Grand Total,12254
